num,title,difficulty,up_vote,down_vote,score
299,Bulls and Cows,Medium,1183,1214,0.47354494086736626
300,Longest Increasing Subsequence,Medium,9783,200,0.9770270242199425
301,Remove Invalid Parentheses,Hard,4143,204,0.9463740878412508
303,Range Sum Query - Immutable,Easy,1680,1541,0.5043102419203835
304,Range Sum Query 2D - Immutable,Medium,2218,237,0.8911416446510574
306,Additive Number,Medium,659,588,0.5007164443496123
307,Range Sum Query - Mutable,Medium,2447,134,0.9388372719873604
309,Best Time to Buy and Sell Stock with Cooldown,Medium,4950,170,0.9615285642565975
310,Minimum Height Trees,Medium,4052,164,0.9548317487669988
312,Burst Balloons,Hard,4492,126,0.9676093666081885
313,Super Ugly Number,Medium,1242,224,0.8278796398979607
315,Count of Smaller Numbers After Self,Hard,4858,143,0.9664122875602582
316,Remove Duplicate Letters,Medium,3534,250,0.9255693709342271
318,Maximum Product of Word Lengths,Medium,1553,93,0.9312777536872564
319,Bulb Switcher,Medium,802,1499,0.32934100250996357
321,Create Maximum Number,Hard,1173,295,0.7777789542677243
322,Coin Change,Medium,9207,225,0.9728660711759216
324,Wiggle Sort II,Medium,1830,744,0.6931387797693901
326,Power of Three,Easy,591,75,0.8611230368433826
327,Count of Range Sum,Hard,1359,145,0.8876288690726075
328,Odd Even Linked List,Medium,4575,369,0.9177035516325635
329,Longest Increasing Path in a Matrix,Hard,4488,77,0.978970184444538
330,Patching Array,Hard,1030,110,0.8849886956202012
331,Verify Preorder Serialization of a Binary Tree,Medium,1529,77,0.9404836279414704
332,Reconstruct Itinerary,Hard,3441,1507,0.6824613457895274
334,Increasing Triplet Subsequence,Medium,3289,189,0.9376208572478857
335,Self Crossing,Hard,228,434,0.30920423239274863
336,Palindrome Pairs,Hard,2397,209,0.9087438858233529
337,House Robber III,Medium,5578,87,0.9810961472844236
338,Counting Bits,Easy,5203,258,0.9468035154836227
341,Flatten Nested List Iterator,Medium,2812,974,0.7285709644576621
342,Power of Four,Easy,1183,273,0.7916383981091738
343,Integer Break,Medium,2299,301,0.8713614944887388
344,Reverse String,Easy,3440,857,0.7883448665759893
345,Reverse Vowels of a String,Easy,1332,1676,0.42515202788762435
347,Top K Frequent Elements,Medium,6696,315,0.9499673493570557
349,Intersection of Two Arrays,Easy,2162,1787,0.5319172837286769
350,Intersection of Two Arrays II,Easy,3490,608,0.8404223810512995
352,Data Stream as Disjoint Intervals,Hard,560,133,0.7770932290924786
354,Russian Doll Envelopes,Hard,2681,66,0.9695481185059049
355,Design Twitter,Medium,1710,254,0.8551044710015924
357,Count Numbers with Unique Digits,Medium,772,1160,0.37796443296779836
363,Max Sum of Rectangle No Larger Than K,Hard,1780,104,0.9335515471081909
365,Water and Jug Problem,Medium,623,1015,0.3571371881509237
367,Valid Perfect Square,Easy,1760,212,0.8780521822631719
368,Largest Divisible Subset,Medium,2875,135,0.9471571029035278
371,Sum of Two Integers,Medium,2135,3272,0.3819080969345212
372,Super Pow,Medium,395,989,0.26223119289706465
373,Find K Pairs with Smallest Sums,Medium,2605,155,0.9346181071789585
374,Guess Number Higher or Lower,Easy,447,78,0.8184550016351471
375,Guess Number Higher or Lower II,Medium,1303,1676,0.4196730988307694
376,Wiggle Subsequence,Medium,2280,85,0.9557728662388725
377,Combination Sum IV,Medium,2892,328,0.8872102685745601
378,Kth Smallest Element in a Sorted Matrix,Medium,5014,216,0.9529617002707697
380,Insert Delete GetRandom O(1),Medium,4781,260,0.9419686601873957
381,Insert Delete GetRandom O(1) - Duplicates allowed,Hard,1441,108,0.9165011553090546
382,Linked List Random Node,Medium,1080,268,0.7790381997023157
383,Ransom Note,Easy,1341,276,0.8101998135403196
384,Shuffle an Array,Medium,546,522,0.48126949059381546
385,Mini Parser,Medium,332,1068,0.21560086534145198
386,Lexicographical Numbers,Medium,1022,107,0.8867397349012057
387,First Unique Character in a String,Easy,4041,172,0.952768218295411
388,Longest Absolute File Path,Medium,887,1978,0.2929334854639305
389,Find the Difference,Easy,1701,338,0.8174654940616959
390,Elimination Game,Medium,694,470,0.5677606203645164
391,Perfect Rectangle,Hard,546,95,0.8221943900680867
392,Is Subsequence,Easy,3382,261,0.9195219787159324
393,UTF-8 Validation,Medium,337,1444,0.1717046365209556
394,Decode String,Medium,6479,286,0.952663096637076
395,Longest Substring with At Least K Repeating Characters,Medium,3389,303,0.9086365786617036
396,Rotate Function,Medium,707,200,0.7513634680698027
397,Integer Replacement,Medium,697,408,0.6019068650865866
398,Random Pick Index,Medium,831,947,0.4442825422699665
399,Evaluate Division,Medium,4330,356,0.9160906910165322
400,Nth Digit,Medium,592,1401,0.2773835681209847
401,Binary Watch,Easy,856,1592,0.33103140332356246
402,Remove K Digits,Medium,4171,172,0.954177090849545
403,Frog Jump,Hard,2063,150,0.9209788207926844
404,Sum of Left Leaves,Easy,2825,221,0.9176852220309651
405,Convert a Number to Hexadecimal,Easy,779,151,0.8125513091509102
406,Queue Reconstruction by Height,Medium,4547,488,0.8945964656549468
